,score
loan_id=901IY4OE22,1.0
loan_id=8UN1205YIR,1.0
loan_id=8UG9OM24HJ,1.0
loan_id=8OW5PQ9K85,1.0
loan_id=8MFLUOYKZ5,1.0
loan_id=8JEV1MJ9TU,1.0
loan_id=8G32X1H9HN,1.0
loan_id=8D3X5GT03B,1.0
loan_id=8CKICZ6XG1,1.0
loan_id=8CHSPMIQ5V,1.0
loan_id=8B8C0VN5IL,1.0
loan_id=89Y9RFI9FZ,1.0
loan_id=A36WVZS916,1.0
loan_id=A92WW3SKMH,1.0
loan_id=CS3SWQ8B6V,1.0
loan_id=AF9H2EMTBM,1.0
loan_id=CR0XGGQV69,1.0
loan_id=CMWOIVYR6U,1.0
loan_id=CK61I7IFES,1.0
loan_id=CIDY0B7CE0,1.0
loan_id=CIAT86G796,1.0
loan_id=CFWNM9LD0W,1.0
loan_id=CFHMPVKVB4,1.0
loan_id=CA2WWRJ6HP,1.0
loan_id=C0SQ9SM4W0,1.0
loan_id=BZR3QF9WLI,1.0
loan_id=BLYOYRN6EB,1.0
loan_id=BG5MQLR426,1.0
loan_id=BFPYD0B0PZ,1.0
loan_id=BEOGCLOK4C,1.0
loan_id=BEFUNQX107,1.0
loan_id=BDHWZG9N9V,1.0
loan_id=AXTLNX8H0Y,1.0
loan_id=AX2LG7Q9DN,1.0
loan_id=ATIZ5KJVWW,1.0
loan_id=ASXX5RHZHT,1.0
loan_id=AS2VY98HZQ,1.0
loan_id=FIJA579RWF,1.0
